OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,SalePrice
7,1640,2,595,798,798,2,6,2003,2003,183000
7,2127,2,525,1223,1223,2,5,1994,1994,271000
7,1314,2,626,1314,1314,2,6,2007,2008,230000
6,1660,1,240,715,849,1,6,1934,1995,188700
10,2402,3,672,3094,2402,2,10,2008,2008,555000
7,1358,2,484,1358,1358,2,6,2009,2010,224000
5,1092,1,299,1092,1092,1,6,1957,1957,141000
7,1564,1,234,704,860,1,7,1941,1950,174500
5,892,1,288,892,892,1,5,1967,1967,100000
6,1688,2,603,616,616,2,8,1997,1997,200000
5,1792,0,0,896,896,2,8,1974,1974,136000
6,2555,2,672,588,1423,2,11,1922,1994,191000
7,1501,2,440,744,757,2,6,1999,1999,179400
8,2028,3,880,1868,2028,2,7,2005,2006,369900
7,1501,2,577,1490,1501,2,6,1999,1999,204000
5,827,1,392,0,827,1,5,1955,2007,107500
7,2256,2,554,952,980,2,8,2000,2000,236000
5,1387,1,256,811,811,2,7,1954,1954,93000
6,932,1,306,932,932,1,4,1950,1950,124000
5,1053,1,312,1053,1053,1,5,1959,2006,145500
8,1646,3,870,1638,1646,2,6,2006,2007,248900
7,1248,2,438,1248,1248,2,5,2005,2006,167240
6,2320,1,180,1028,1436,2,9,1945,2002,259500
5,999,1,264,999,999,1,6,1962,2001,132500
6,2380,2,596,1021,1465,2,7,1965,1979,129000
7,1947,2,678,991,991,2,8,2004,2005,254900
6,987,1,264,483,483,1,5,1971,1971,89500
5,833,1,326,833,833,1,4,1954,2000,117000
5,816,1,308,816,816,1,5,1957,1957,129900
7,1339,2,484,1309,1339,2,6,1990,1990,180000
5,1142,2,528,1142,1142,1,6,1976,1976,134000
8,2828,3,1052,1466,1466,3,11,2006,2007,424870
5,816,2,816,816,816,1,4,1982,2003,138000
9,2121,3,732,2121,2121,2,8,2006,2007,415298
7,2340,1,252,1152,1188,2,9,1941,2006,266500
6,1396,1,384,698,698,1,7,1915,2003,153575
6,1635,2,440,1065,915,1,6,1923,1950,210000
5,1664,0,0,0,1664,2,8,1965,1965,100000
6,1080,2,484,1084,1080,1,5,1983,1983,134000
7,1720,2,565,860,860,2,7,2004,2004,196500
5,1126,2,484,1126,1126,2,5,1977,1977,160000
8,1580,3,830,1580,1580,2,7,2007,2008,235128
7,1576,2,614,770,778,2,6,2006,2006,197000
7,1442,2,500,1424,1442,2,5,1990,1990,180500
9,3140,3,820,1926,1966,3,11,2008,2009,485000
6,754,0,0,520,520,1,5,1935,1982,84500
4,968,1,216,656,968,2,5,1927,2007,64500
5,1250,1,280,686,686,1,7,1918,1950,116000
7,1726,3,786,1726,1726,2,8,2007,2007,311872
7,2223,2,516,2223,2223,2,8,1973,1973,244000
8,1800,3,765,1800,1800,2,7,2002,2002,312500
6,1375,1,544,780,780,1,6,1937,1950,141000
7,1422,2,626,1422,1422,2,7,2004,2004,179600
5,864,1,336,864,864,1,6,1978,2005,136500
5,1632,2,576,1632,1632,2,8,1967,1967,143000
7,2062,2,454,1157,1180,2,7,1988,1989,277000
7,2069,2,505,585,2069,2,9,1960,2007,242000
8,2097,3,1134,2077,2097,1,8,2005,2006,423000
9,2364,3,820,2330,2364,2,11,2009,2010,611657
5,1365,2,440,765,765,1,6,1971,1971,122500
5,1040,1,286,1040,1040,1,6,1959,1959,133700
6,1456,2,440,855,855,2,7,1976,1976,148500
7,1506,2,440,1362,1506,2,6,2005,2005,213490
6,848,2,420,848,848,1,4,2003,2004,144000
4,960,1,308,960,960,1,5,1920,1950,108500
5,2601,2,621,612,990,3,8,1921,1998,189000
7,1477,1,216,861,877,2,6,1928,1950,145000
8,1574,3,824,1574,1574,2,7,2006,2006,232000
5,886,1,273,190,886,1,4,1938,1996,91300
6,2229,0,0,755,929,1,8,1912,1950,104000
9,2713,3,858,1452,1476,2,11,2008,2008,446261
6,1933,3,668,894,894,2,9,2007,2007,214000
5,1524,1,315,874,874,1,7,1958,1958,144000
9,1869,2,617,1869,1869,2,6,2007,2007,318061
4,861,2,539,861,861,1,4,1940,1950,82500
8,2113,3,839,2109,2113,2,7,1995,1995,350000
5,1154,2,480,1154,1154,1,6,1966,1966,154000
5,1526,1,364,1216,1526,1,7,1957,2002,144500
6,1348,2,453,660,660,1,6,1966,1966,155000
5,1114,2,576,1114,1114,1,6,2004,2004,159000
7,2207,2,576,1947,2207,2,7,1970,1989,180000
6,1376,1,198,780,780,2,7,1937,1950,119500
5,1028,2,360,1008,1028,1,5,1927,1950,115000
5,1159,1,336,1051,1159,1,7,1968,1968,158000
7,1453,2,445,1453,1453,1,6,1986,1986,190000
9,1702,3,1052,1702,1702,1,7,2008,2008,367294
7,1826,1,164,910,916,1,7,1915,2005,155000
6,1657,2,484,1657,1657,2,7,1970,1970,163500
7,1557,2,420,1374,1557,2,7,2003,2004,234000
7,1253,2,402,1237,1253,2,6,1995,1996,176000
8,2358,0,0,684,938,2,8,1872,1987,122000
6,1440,2,467,1440,1440,2,7,1981,1981,182900
6,2030,2,551,848,1118,2,8,1976,1976,195000
8,2794,3,810,1462,1490,2,9,1995,1996,403000
6,1072,2,525,547,1072,1,5,2005,2005,148000
6,784,2,360,784,784,1,5,1928,1950,76000
7,1428,2,480,1428,1428,2,6,2007,2008,182000
4,988,1,297,462,526,1,5,1973,1973,91000
5,835,1,366,458,835,1,5,1920,1950,83000
7,1080,0,0,1080,1080,1,6,2004,2005,141000
8,3238,3,666,2033,2053,2,9,1995,1996,410000
5,1216,1,336,832,832,1,6,1947,1950,118500
6,1138,1,264,588,1138,1,6,1958,1958,145000
5,1073,2,515,1073,1073,1,6,1965,1965,156000
5,1539,2,576,927,1067,1,5,1936,1950,141500
5,1701,2,611,1390,1701,2,6,1975,1981,171000
5,1472,1,250,702,842,1,6,1925,1994,125000
5,990,1,299,990,990,1,5,1994,1994,126000
5,1314,1,294,1314,1314,1,5,1957,1957,145000
5,773,1,240,773,773,1,4,1953,1953,110000
5,864,2,720,864,864,1,5,1950,2002,129000
9,2018,3,746,2002,2018,2,10,2008,2009,378500
5,924,1,280,924,924,1,5,1975,1975,110000
6,1674,2,396,1163,1163,2,8,1918,1950,185000
7,2013,2,455,1117,1127,2,8,1996,1997,269790
5,894,1,308,894,894,1,5,1976,1976,128200
7,1432,2,432,716,716,2,6,2004,2005,188500
5,1376,1,240,768,968,1,6,1941,1950,105000
6,1844,2,540,1844,1844,2,7,1969,1969,223000
7,1716,2,512,880,909,2,7,1996,1996,191000
8,1719,2,473,1719,1719,1,6,1993,1993,324000
8,2000,3,888,2000,2000,2,8,2004,2005,305900
8,2217,2,621,2217,2217,2,8,1970,1970,268000
8,1419,2,567,1419,1419,2,7,2007,2007,392000
7,1779,2,546,866,866,2,6,1998,1998,197900
3,1526,0,0,1013,1013,1,6,1915,1982,85000
6,1732,2,476,741,977,2,7,1985,1985,178000
6,1054,2,480,936,1054,1,6,1963,1963,137500
7,1220,2,632,1199,1220,2,6,2006,2006,194000
5,1040,0,0,1040,1040,2,5,1978,1978,124000
7,1824,2,739,1643,1824,2,5,1971,2002,302000
5,1190,2,540,1106,1190,1,6,1962,1962,132500
8,2574,3,868,1482,1482,2,10,2007,2007,276000
6,1309,2,484,1040,1309,1,5,1974,1999,181000
6,1560,2,400,684,684,2,6,2005,2005,174000
5,1367,1,384,861,961,1,7,1900,1950,119000
5,1716,0,0,780,936,2,9,1912,2000,135900
4,1346,1,384,560,796,1,6,1910,2000,112000
6,1567,2,714,1567,1567,2,5,1977,1977,196000
6,1734,2,440,912,1085,1,7,1962,1981,159000
5,1393,1,300,816,872,1,8,1955,1955,135500
8,1932,3,774,1932,1932,2,7,2008,2008,394617
5,764,2,504,680,764,1,4,1925,2004,73000
5,833,0,0,833,833,1,5,1985,1985,112000
5,2240,2,528,0,1120,2,12,1979,1979,142953
6,2117,2,550,1205,2117,2,7,1970,1970,237500
8,1788,2,522,1753,1788,2,7,2001,2001,236500
7,1560,2,573,1560,1560,2,7,2003,2003,201000
4,1440,0,0,1440,1440,2,8,1977,1977,150000
4,951,1,327,951,951,1,6,1936,1950,106500
6,838,1,275,816,838,1,5,1918,2000,130000
5,1056,1,304,1056,1056,1,6,1968,1968,142000
6,1350,2,478,1064,1350,2,7,1974,1974,165000
5,1118,2,410,793,793,1,5,1939,1950,119900
5,1092,1,288,1092,1092,1,6,1962,1962,139000
7,1500,2,570,1500,1500,2,6,2004,2004,190000
8,2031,2,577,1128,1128,2,7,2002,2002,237000
6,987,1,264,483,483,1,5,1973,1973,100000
6,2291,2,506,1214,1260,2,9,1910,1998,133900
5,1416,2,576,816,1416,2,7,1918,2007,112000
8,1936,2,504,1406,1454,2,7,2000,2000,230500
5,1110,2,602,1097,1110,1,4,1978,1978,165500
5,792,1,240,768,792,1,5,1924,2006,109500
6,1217,1,288,626,626,1,6,1980,1980,120000
6,848,2,420,848,848,1,3,2004,2004,141000
8,2365,3,856,1252,1268,2,8,1999,1999,337000
4,2290,2,560,777,1246,2,11,1885,1950,122500
5,1006,0,0,1006,1006,1,5,1959,1959,80000
7,1472,2,588,1372,1472,2,6,1980,1980,187500
6,1314,2,440,1314,1314,2,6,2006,2006,176432
7,2353,2,484,845,1153,2,10,1980,1980,260000
7,1426,1,216,912,912,1,7,1918,1998,189950
6,987,1,280,483,483,1,5,1970,1970,106000
7,1525,2,541,1525,1525,2,6,2000,2000,235000
8,1742,2,424,916,916,1,8,1882,1986,168000
5,936,2,672,936,936,1,4,1980,1980,140000
9,1620,3,912,1620,1620,2,6,2007,2008,315500
4,924,1,280,672,672,1,5,1941,1950,80000
6,1668,1,271,856,1112,1,6,1950,2005,140000
7,1391,2,530,1391,1391,2,5,2004,2004,196000
6,1252,2,564,1602,1252,1,4,1960,1975,235000
5,1040,2,625,0,1040,1,5,1950,1950,109500
4,1208,2,539,780,848,1,5,1925,1950,103000
6,987,1,264,483,483,1,5,1973,1973,83000
7,2243,3,746,700,1122,2,8,1990,1991,225000
7,1958,3,936,1026,1026,2,9,2005,2005,250000
6,1912,2,672,482,1221,2,7,1905,2000,163000
4,1040,2,420,0,1040,1,4,1950,1950,109900
7,2060,2,390,992,1022,2,8,1999,1999,214000
6,1664,2,420,1004,1004,2,7,1947,1950,159000
7,1768,2,543,884,884,2,8,2003,2003,224900
4,936,2,576,936,936,1,4,1953,1953,93000
6,1679,2,575,1408,1679,2,7,1994,1998,193500
4,1788,1,304,1104,1104,1,8,1957,1989,161500
5,1360,1,297,803,803,1,6,1938,1995,125500
6,1316,2,397,1316,1316,2,6,2005,2006,169990
5,1040,2,576,1040,1040,1,6,1996,1996,152000
7,1948,2,434,847,847,2,8,2004,2005,195000
7,1550,2,438,1092,1112,2,7,2006,2007,241000
8,1717,3,908,1709,1717,2,7,2006,2006,255500
8,1629,3,808,1616,1629,2,9,2002,2003,270000
7,1459,2,527,1459,1459,2,6,2002,2002,192000
3,1733,2,452,0,1733,2,8,1955,1955,139600
8,1710,3,866,1710,1710,2,6,2007,2008,372402
5,925,1,429,925,925,1,5,1965,1965,117500
5,2080,2,504,1040,1040,1,9,1969,1969,135000
3,1306,0,0,728,1306,1,6,1940,1966,76500
5,864,0,0,864,864,1,4,1922,1950,99900
7,1430,2,605,1413,1430,2,6,2001,2002,187100
7,1986,2,486,768,1186,2,7,1965,1990,205000
4,1047,1,273,641,1047,1,6,1885,1995,100000
5,1040,2,484,1040,1040,2,5,1977,2008,150500
4,605,0,0,528,605,1,5,1920,2002,86000
6,1445,2,645,1127,1445,1,7,1964,1964,158000
8,1600,3,890,1566,1600,2,7,2007,2007,256300
5,1728,2,560,1728,1728,2,8,1976,1976,188000
6,1728,2,574,1728,1728,2,8,1976,1976,150900
5,1246,1,305,1246,1246,1,6,1959,1994,154000
7,1929,2,650,1057,1057,2,7,2001,2001,226000
5,1144,1,596,1144,1144,1,6,1956,1956,129000
5,1652,1,416,686,966,2,7,1915,1950,139000
5,1192,1,189,596,596,1,6,1920,1950,78000
7,1573,2,544,1573,1573,2,6,2002,2002,227000
3,864,0,0,864,864,1,5,1914,1950,67000
8,1656,3,826,1656,1656,2,7,2006,2006,249700
7,1714,2,496,980,980,2,7,1988,1988,196500
6,1647,1,216,806,841,1,6,1915,1950,128000
8,1590,2,676,768,786,2,6,2008,2008,210000
6,2201,2,432,697,1575,2,8,1966,1966,274970
7,1541,2,532,1541,1541,2,7,2005,2005,220000
7,1971,2,689,1113,1113,2,8,2005,2005,253000
5,1392,2,528,1392,1392,1,5,1957,1996,121500
8,1973,3,895,1935,1973,2,9,2006,2006,395000
5,1200,0,0,1200,1200,3,5,1987,1988,179000
6,1298,2,403,1298,1298,2,5,1985,1985,180000
5,874,1,288,864,874,1,5,1968,1968,130000
8,1668,2,502,1657,1668,2,8,2003,2003,232000
5,1284,1,240,720,720,1,5,1947,1950,110000
8,1935,2,552,832,832,2,8,2009,2009,263435
7,1718,2,427,832,885,2,7,1998,1998,185000
4,1382,2,459,1051,1382,1,6,1963,1979,148000
5,1200,2,884,864,1200,1,6,1965,1998,146000
6,2108,2,540,1127,1236,2,7,1935,1986,235000
5,1644,1,312,728,888,1,7,1942,1995,146500
3,968,0,0,600,600,1,6,1910,1950,37900
5,924,2,576,672,672,1,6,1949,2006,122900
5,816,1,264,816,816,1,5,1982,1982,124500
6,1638,2,472,943,943,2,7,1998,1998,192000
5,1285,1,240,672,1072,1,6,1948,2001,127000
5,2274,2,480,1105,1105,2,12,1960,1960,154300
7,1861,2,492,916,920,2,8,2002,2002,200000
6,1003,2,588,1003,1003,1,6,1984,1984,142500
7,1200,2,480,600,600,2,4,2004,2005,151000
6,848,2,420,848,848,1,3,2004,2004,149000
5,816,2,516,816,816,1,5,1963,1963,110000
3,1040,2,400,0,1040,2,6,1950,1950,93500
4,1573,1,240,884,989,1,6,1935,1995,133000
7,1839,2,486,1195,1195,2,7,1998,1998,221000
5,2020,2,630,0,2020,2,10,1977,1977,144000
5,1265,2,502,1219,1265,2,6,1965,1999,179900
7,1709,2,380,970,970,2,7,2004,2004,137500
6,1839,2,416,1477,1839,2,7,1957,2004,257500
6,2119,2,583,689,1378,2,7,1972,1972,158000
7,1456,2,440,728,728,2,8,2006,2006,155835
4,1981,2,576,1122,1328,2,7,1928,1950,135000
7,1479,2,484,725,725,1,7,1972,2004,184000
5,1200,1,240,768,768,1,6,1946,1995,130500
4,1100,1,312,1100,1100,1,6,1960,1960,141000
7,2418,3,983,1311,1325,2,9,1993,1994,341000
5,1601,1,300,533,1021,1,6,1958,1987,140000
8,1659,2,499,1501,1659,2,5,2000,2000,278000
5,1389,2,418,1389,1389,1,6,1974,1975,170000
5,864,0,0,864,864,1,5,1925,1950,98000
6,1026,2,440,1026,1026,1,5,1969,2005,156000
6,1603,2,484,761,810,2,7,1992,1992,175900
6,1640,2,924,1296,1640,1,7,1954,2006,224000
6,1117,2,672,1029,1117,1,6,1976,1976,107000
6,1414,2,601,1184,1414,1,6,1958,2002,176500
5,1022,1,280,1022,1022,1,4,1910,2006,85000
7,1601,2,478,1271,1601,2,7,1978,1978,157000
6,1796,2,546,794,882,2,7,1998,1998,211000
6,1367,1,560,884,959,1,6,1931,1950,127500
5,1716,1,281,768,1148,1,8,1949,2008,131000
6,1092,2,504,1092,1092,1,6,1964,1964,145000
7,2172,3,947,1063,1071,2,9,2006,2006,280000
7,1950,2,576,975,975,2,7,1997,1998,239000
5,1728,2,504,1728,1728,2,10,1963,1963,125000
7,1456,2,410,728,728,2,7,2005,2005,189000
8,3112,2,795,1360,1360,2,8,1918,1990,235000
5,1800,0,0,1800,1800,2,10,1961,1961,141000
6,1577,1,312,972,972,1,6,1939,1950,140200
5,875,1,180,715,875,1,5,1931,1993,105000
4,1092,1,286,546,546,1,6,1970,1970,88000
4,1324,1,240,672,757,1,6,1936,1950,128000
7,1886,2,431,930,956,2,10,1998,1999,199900
4,864,2,528,864,864,1,5,1971,1971,120500
5,1065,2,461,1065,1065,1,6,1960,1960,126500
5,904,1,408,876,904,1,6,1966,1966,109900
5,1517,0,0,793,997,2,7,1919,2005,115000
7,2057,1,180,1017,1020,1,6,1936,1987,250000
5,1340,1,252,0,1340,1,7,1957,2006,120000
7,1553,2,615,756,756,2,6,2005,2006,186500
5,1360,2,572,384,1360,1,6,1955,1955,130000
5,1750,1,240,636,1089,1,8,1880,1991,124000
5,964,2,432,876,964,1,5,1921,2006,163500
6,1502,1,180,602,900,1,7,1923,1996,165000
6,1392,1,299,689,689,1,6,1977,1977,161750
4,1040,2,648,1064,1040,1,5,1963,1963,132250
8,2473,3,852,1143,1143,2,9,2004,2005,317000
4,1196,2,440,1196,1196,1,5,1916,1990,109900
9,2234,3,1166,2216,2234,2,9,2008,2009,501837
6,1381,2,676,1161,1381,1,5,1972,2006,197500
8,2450,3,1069,1284,1310,2,7,1998,1998,340000
6,1114,2,576,1114,1114,1,6,2003,2004,155000
5,1121,2,480,1121,1121,1,5,1963,1963,139000
4,1296,2,516,0,1296,2,6,1967,1967,90000
5,894,1,384,894,894,1,5,1966,1966,125000
4,1317,1,250,649,649,1,6,1920,1950,40000
7,1494,2,530,1494,1494,2,6,2002,2002,221000
5,1203,1,352,709,979,1,5,1950,1950,110000
6,1750,1,423,983,983,2,7,1940,1985,160000
7,2403,1,349,1032,1207,2,10,1940,1950,244400
6,1322,2,440,855,855,2,6,1974,1974,147000
5,1600,1,319,1484,1600,1,6,1957,1997,207500
6,958,2,440,1078,958,2,5,1976,1976,128000
6,1350,2,520,1248,1350,1,6,1964,1964,168500
8,1466,3,610,1466,1466,2,7,2007,2007,201000
6,996,2,564,936,996,1,5,1992,1992,147000
5,1271,1,312,720,720,2,7,1948,1950,135000
6,1456,2,390,728,728,2,8,2005,2006,163990
7,1682,2,530,1304,1682,2,7,1970,1970,174000
5,864,1,352,864,864,1,5,1972,1972,127000
7,1820,1,240,1026,1133,2,8,1925,1950,184000
6,1216,2,402,1216,1216,2,5,1998,1998,164000
6,1212,2,492,506,1212,1,6,1977,1995,151000
5,1236,1,447,1070,1236,1,6,1957,1996,134450
5,912,2,576,912,912,1,5,1965,2008,147000
5,672,1,240,672,672,1,4,1940,1997,108000
5,1124,0,0,0,1124,1,5,1954,1954,93000
8,1468,3,898,1468,1468,2,6,2008,2009,244600
9,1850,3,772,1833,1850,2,8,2004,2005,326000
6,1675,2,502,841,892,2,7,1999,1999,181000
7,1370,2,479,1090,1370,2,6,1976,1976,152000
5,1256,1,276,1256,1256,1,6,1965,1965,147500
6,1855,1,325,994,1216,2,7,1954,1972,136900
8,1489,2,776,1489,1489,2,7,2006,2006,232600
6,1310,1,398,617,865,2,6,1924,1950,112000
8,2090,2,556,1220,1220,2,8,1995,1996,240000
5,1125,2,430,1125,1125,1,5,2006,2007,155000
3,894,3,1248,894,894,1,6,1935,1950,81000
8,2482,3,642,1094,1133,2,9,2005,2006,281213
8,1872,2,531,1299,1299,2,7,2001,2001,261500
6,1525,2,440,756,769,2,5,2000,2000,177000
4,1344,0,0,546,798,1,6,1970,2008,97000
6,1604,2,470,926,926,2,7,1997,1998,181000
7,1670,3,690,1670,1670,2,7,2006,2006,240000
8,1296,2,471,1267,1296,2,6,2001,2002,220000
10,2076,3,850,2076,2076,2,7,2006,2006,465000
6,1194,1,312,1194,1194,1,6,1959,1959,148000
10,2392,3,968,2392,2392,2,8,2003,2003,386250
6,1224,2,528,612,612,2,4,2009,2009,173733
9,1506,2,592,1498,1506,2,6,2008,2008,264132
